1	-68	0.3	FC5
2	-60	0.219	FC3
3	-42	0.14	FC1
4	0	0.101	FCz
5	42	0.14	FC2
6	60	0.219	FC4
7	68	0.3	FC6
8	-90	0.304	C5
9	-90	0.203	C3
10	-90	0.101	C1
11	0	0	Cz
12	90	0.101	C2
13	90	0.203	C4
14	90	0.304	C6
15	-112	0.3	CP5
16	-120	0.219	CP3
17	-138	0.14	CP1
18	180	0.101	CPz
19	138	0.14	CP2
20	120	0.219	CP4
21	112	0.3	CP6
22	-18	0.406	Fp1
23	0	0.406	Fpz
24	18	0.406	Fp2
25	-36	0.406	AF7
26	-23	0.343	AF3
27	0	0.304	AFz
28	23	0.343	AF4
29	36	0.406	AF8
30	-54	0.406	F7
31	-46	0.363	F5
32	-35	0.275	F3
33	-21	0.219	F1
34	0	0.203	Fz
35	21	0.219	F2
36	35	0.275	F4
37	46	0.363	F6
38	54	0.406	F8
39	-72	0.406	FT7
40	72	0.406	FT8
41	-90	0.406	T7
42	90	0.406	T8
43	-90	0.508	T9
44	90	0.508	T10
45	-108	0.406	TP7
46	108	0.406	TP8
47	-126	0.406	P7
48	-134	0.343	P5
49	-145	0.275	P3
50	-159	0.219	P1
51	180	0.181	Pz
52	159	0.219	P2
53	145	0.275	P4
54	134	0.343	P6
55	126	0.406	P8
56	-144	0.406	PO7
59	-157	0.343	PO3
58	180	0.343	POz
59	157	0.343	PO4
60	144	0.406	PO8
61	-162	0.406	O1
62	180	0.406	Oz
63	162	0.406	O2
64	180	0.508	Iz
